Fold, Epoch, Last Batch Train Loss, Average Train Loss
4, 14, 0.7032, 0.7241
4, 15, 0.6239, 0.6994
4, 16, 0.5892, 0.7049
4, 17, 0.6353, 0.7095
4, 18, 0.6199, 0.7107
4, 19, 0.6385, 0.7104
4, 20, 0.6259, 0.7129
4, 21, 0.7104, 0.7147
4, 22, 0.5678, 0.7075
4, 23, 0.6253, 0.7136
4, 24, 0.6547, 0.7137
4, 25, 0.6342, 0.7149
4, 26, 0.6262, 0.7154
4, 27, 0.6459, 0.7104
4, 28, 0.6334, 0.7148
4, 29, 0.6578, 0.7050
4, 30, 0.6208, 0.7125
4, 31, 0.6097, 0.7199
4, 32, 0.5910, 0.7104
4, 33, 0.6430, 0.7072
4, 34, 0.6226, 0.7131
4, 35, 0.6151, 0.7095
4, 36, 0.6076, 0.7088
4, 37, 0.6625, 0.7089
4, 38, 0.5963, 0.7033
4, 39, 0.6707, 0.7109
4, 40, 0.6387, 0.7139
4, 41, 0.6752, 0.7151
4, 42, 0.6014, 0.7075
4, 43, 0.6496, 0.7104
4, 44, 0.6259, 0.7030
4, 45, 0.6272, 0.7083
4, 46, 0.6094, 0.7107
4, 47, 0.6287, 0.7023
4, 48, 0.5959, 0.7118
4, 49, 0.6044, 0.7090
4, 50, 0.6086, 0.7044
5, 1, 0.7627, 0.7120
5, 2, 0.6770, 0.7134
5, 3, 0.6464, 0.7025
5, 4, 0.5422, 0.7077
5, 5, 0.5733, 0.7098
5, 6, 0.6333, 0.7103
5, 7, 0.5736, 0.7096
5, 8, 0.5677, 0.7121
5, 9, 0.6539, 0.7135
5, 10, 0.5948, 0.7060
5, 11, 0.6207, 0.7029
5, 12, 0.5593, 0.7107
5, 13, 0.5971, 0.7152
5, 14, 0.5770, 0.7144
5, 15, 0.5612, 0.7101
5, 16, 0.6416, 0.7086
5, 17, 0.5627, 0.7037
5, 18, 0.6013, 0.7065
5, 19, 0.6102, 0.7146
5, 20, 0.6052, 0.7043
5, 21, 0.6111, 0.7046
5, 22, 0.5751, 0.7114
5, 23, 0.5549, 0.7017
5, 24, 0.6077, 0.7051
5, 25, 0.5919, 0.7120
5, 26, 0.5970, 0.7061
5, 27, 0.6019, 0.7072
5, 28, 0.5888, 0.7069
5, 29, 0.5682, 0.7031
5, 30, 0.6244, 0.7131
5, 31, 0.6098, 0.7091
5, 32, 0.6256, 0.7079
5, 33, 0.5822, 0.7124
5, 34, 0.6458, 0.7105
5, 35, 0.6248, 0.7057
5, 36, 0.6239, 0.7102
5, 37, 0.6124, 0.7046
5, 38, 0.5853, 0.7060
5, 39, 0.5876, 0.7090
5, 40, 0.6225, 0.7107
5, 41, 0.5593, 0.7085
5, 42, 0.5835, 0.7060
5, 43, 0.6031, 0.7089
5, 44, 0.5924, 0.6997
5, 45, 0.6475, 0.7106
5, 46, 0.5999, 0.7027
5, 47, 0.6004, 0.7106
5, 48, 0.6369, 0.7034
5, 49, 0.5836, 0.7027
5, 50, 0.5561, 0.7043
