Fold, Epoch, Last Batch Train Loss, Average Train Loss
4, 14, 0.6254, 0.5941
4, 15, 0.6321, 0.5830
4, 16, 0.6748, 0.5187
4, 17, 0.5917, 0.5999
4, 18, 0.0069, 0.4261
4, 19, 0.3021, 1.6862
4, 20, 0.3924, 0.6354
4, 21, 0.7485, 0.5790
4, 22, 0.4618, 0.5226
4, 23, 0.4137, 0.5489
4, 24, 0.4547, 0.5831
4, 25, 0.3106, 0.5508
4, 26, 0.6211, 0.5966
4, 27, 0.1532, 0.8422
4, 28, 0.4419, 0.7209
4, 29, 0.4044, 0.5333
4, 30, 0.5162, 0.5511
4, 31, 0.3219, 0.6105
4, 32, 0.5585, 0.5089
4, 33, 0.2895, 0.5693
4, 34, 0.6924, 0.5240
4, 35, 0.3451, 0.5360
4, 36, 0.3589, 0.5534
4, 37, 0.5493, 0.5245
4, 38, 0.3981, 0.5653
4, 39, 0.4424, 0.5284
4, 40, 0.3520, 0.5565
4, 41, 0.4325, 0.5461
4, 42, 0.4629, 0.5544
4, 43, 0.6141, 0.5571
4, 44, 0.8112, 0.5137
4, 45, 0.3308, 0.5334
4, 46, 0.4218, 0.5530
4, 47, 0.3315, 0.5808
4, 48, 0.4989, 0.5922
4, 49, 0.5430, 0.5435
4, 50, 0.5487, 0.5339
5, 1, 0.4090, 0.5591
5, 2, 0.4187, 0.5482
5, 3, 0.3066, 0.5026
5, 4, 0.3509, 0.5387
5, 5, 0.6064, 0.5385
5, 6, 0.5303, 0.5302
5, 7, 0.3981, 0.5426
5, 8, 0.3428, 0.5320
5, 9, 0.3186, 0.5359
5, 10, 0.4316, 0.5062
5, 11, 0.3368, 0.6113
5, 12, 0.3384, 0.5366
5, 13, 0.5045, 0.5693
5, 14, 0.4088, 0.5357
5, 15, 0.5391, 0.5691
5, 16, 0.3800, 0.5651
5, 17, 0.4506, 0.5513
5, 18, 0.6444, 0.5503
5, 19, 0.3109, 0.5541
5, 20, 0.4789, 0.5478
5, 21, 0.5647, 0.5583
5, 22, 0.2649, 0.5719
5, 23, 0.5121, 0.5345
5, 24, 0.4386, 0.5483
5, 25, 0.2816, 0.4938
5, 26, 0.2660, 0.5384
5, 27, 0.6751, 0.5244
5, 28, 0.3679, 0.5735
5, 29, 0.3765, 0.5631
5, 30, 0.4043, 0.5248
5, 31, 0.5886, 0.5795
5, 32, 0.7011, 0.5536
5, 33, 0.4276, 0.5342
5, 34, 0.3269, 0.4839
5, 35, 0.4196, 0.5569
5, 36, 0.3823, 0.5072
5, 37, 0.3503, 0.5011
5, 38, 0.3798, 0.5167
5, 39, 0.4019, 0.5210
5, 40, 0.2938, 0.5584
5, 41, 0.8233, 0.5617
5, 42, 0.3984, 0.5984
5, 43, 0.4777, 0.5157
5, 44, 0.6772, 0.5167
5, 45, 0.3505, 0.5028
5, 46, 0.3297, 0.5676
5, 47, 0.3503, 0.5578
5, 48, 0.2137, 0.5776
5, 49, 0.4243, 0.6097
5, 50, 0.4178, 0.5116
