Fold, Epoch, Last Batch Train Loss, Average Train Loss
1, 1, 2.0483, 5.1438
1, 2, 0.2671, 1.3990
1, 3, 0.2622, 1.2252
1, 4, 0.3211, 1.1417
1, 5, 0.2905, 1.0742
1, 6, 0.2747, 0.9679
1, 7, 0.2769, 0.9609
1, 8, 0.3344, 0.9675
1, 9, 0.3494, 0.8623
1, 10, 0.4019, 0.7956
1, 11, 0.3749, 0.7720
1, 12, 0.2904, 0.6713
1, 13, 0.2068, 0.6840
1, 14, 0.1850, 0.6826
1, 15, 0.2670, 0.6525
1, 16, 0.1383, 0.6205
1, 17, 0.1401, 0.6792
1, 18, 0.1114, 0.5262
1, 19, 0.0630, 0.4592
1, 20, 0.0688, 0.3527
1, 21, 0.0435, 0.3477
1, 22, 0.0557, 0.3031
1, 23, 0.0896, 0.3156
1, 24, 0.0665, 0.3001
1, 25, 0.0457, 0.2719
1, 26, 0.0372, 0.2316
1, 27, 0.0781, 0.2007
1, 28, 0.0182, 0.1624
1, 29, 0.0162, 0.1201
1, 30, 0.0351, 0.0998
1, 31, 0.0243, 0.0877
1, 32, 0.0156, 0.1043
1, 33, 0.0142, 0.0941
1, 34, 0.0137, 0.0932
1, 35, 0.0115, 0.1872
1, 36, 0.0339, 0.0979
1, 37, 0.0055, 0.1230
1, 38, 0.0127, 0.1008
1, 39, 0.0134, 0.0583
1, 40, 0.0118, 0.0689
1, 41, 0.0162, 0.0710
1, 42, 0.0046, 0.0632
1, 43, 0.0050, 0.2016
1, 44, 0.0057, 0.2740
1, 45, 0.0078, 0.1632
1, 46, 0.0090, 0.1169
1, 47, 0.0037, 0.1964
1, 48, 0.0062, 0.2613
1, 49, 0.0073, 0.2690
1, 50, 0.0041, 0.1706
2, 1, 0.0031, 0.2439
2, 2, 0.0031, 0.4329
2, 3, 0.0144, 0.4293
2, 4, 0.0060, 0.4742
2, 5, 0.0088, 0.2979
2, 6, 0.0056, 0.1567
2, 7, 0.0319, 0.1477
2, 8, 0.0123, 0.2313
2, 9, 0.0045, 0.2068
2, 10, 0.0064, 0.1864
2, 11, 0.0075, 0.2484
2, 12, 0.0148, 0.1529
2, 13, 0.0492, 0.0501
2, 14, 0.0201, 0.0223
2, 15, 0.0046, 0.0198
2, 16, 0.0076, 0.0161
2, 17, 0.0026, 0.1737
2, 18, 0.0048, 0.0595
2, 19, 0.0070, 0.0172
2, 20, 0.0068, 0.0195
2, 21, 0.0029, 0.0138
2, 22, 0.0065, 0.0118
2, 23, 0.0026, 0.1338
2, 24, 0.0045, 0.1315
2, 25, 0.0056, 0.0606
2, 26, 0.0033, 0.0691
2, 27, 0.0020, 0.1353
2, 28, 0.0285, 0.1912
2, 29, 0.0030, 0.0159
2, 30, 0.0095, 0.0132
2, 31, 0.0080, 0.0110
2, 32, 0.0062, 0.0092
2, 33, 0.0067, 0.0086
2, 34, 0.0073, 0.0072
2, 35, 0.0022, 0.0079
2, 36, 0.0135, 0.0064
2, 37, 0.0039, 0.0062
2, 38, 0.0028, 0.0053
2, 39, 0.0037, 0.0045
2, 40, 0.0037, 0.0059
2, 41, 0.0032, 0.0047
2, 42, 0.0044, 0.0051
2, 43, 0.0031, 0.0039
2, 44, 0.0028, 0.0040
2, 45, 0.0029, 0.0040
2, 46, 0.0026, 0.0036
2, 47, 0.0028, 0.0031
2, 48, 0.0019, 0.0034
2, 49, 0.0029, 0.0036
2, 50, 0.0018, 0.0028
3, 1, 0.0010, 0.2406
3, 2, 0.0534, 1.7123
3, 3, 0.0767, 1.3023
3, 4, 0.1501, 1.1213
3, 5, 0.0739, 0.8645
3, 6, 0.1785, 1.1175
3, 7, 0.1805, 1.0128
3, 8, 0.1642, 0.8932
3, 9, 0.1535, 0.7816
3, 10, 0.1080, 0.7537
3, 11, 0.0995, 0.6637
3, 12, 0.0729, 0.6268
3, 13, 0.0644, 0.5321
3, 14, 0.0408, 0.4357
3, 15, 0.0266, 0.5926
3, 16, 0.0640, 0.5307
3, 17, 0.0903, 0.4745
3, 18, 0.0375, 0.4309
3, 19, 0.0194, 0.3083
3, 20, 0.0106, 0.2172
3, 21, 0.0103, 0.1739
3, 22, 0.0260, 0.1261
3, 23, 0.0148, 0.0724
3, 24, 0.0115, 0.0595
3, 25, 0.0052, 0.0431
3, 26, 0.0080, 0.0393
3, 27, 0.0052, 0.0267
3, 28, 0.0059, 0.0224
3, 29, 0.0040, 0.0197
3, 30, 0.0039, 0.0144
3, 31, 0.0035, 0.0122
3, 32, 0.0033, 0.0114
3, 33, 0.0038, 0.0091
3, 34, 0.0030, 0.0091
3, 35, 0.0032, 0.0093
3, 36, 0.0024, 0.0073
3, 37, 0.0031, 0.0076
3, 38, 0.0037, 0.0085
3, 39, 0.0022, 0.0064
3, 40, 0.0020, 0.0059
3, 41, 0.0018, 0.0057
3, 42, 0.0028, 0.0043
3, 43, 0.0033, 0.0041
3, 44, 0.0020, 0.0033
3, 45, 0.0028, 0.0041
3, 46, 0.0015, 0.0042
3, 47, 0.0015, 0.0032
3, 48, 0.0025, 0.0041
3, 49, 0.0013, 0.0051
3, 50, 0.0025, 0.0031
1, 1, 1.9015, 5.1961
1, 2, 0.2865, 1.3540
1, 3, 0.1814, 1.1920
1, 4, 0.2669, 1.1581
1, 5, 0.3135, 1.0884
1, 6, 0.3361, 0.9972
1, 7, 0.3135, 0.9175
1, 8, 0.2880, 0.8732
1, 9, 0.2904, 0.8208
1, 10, 0.2573, 0.7350
1, 11, 0.0639, 0.8124
1, 12, 0.0824, 0.9130
