Fold, Epoch, Train Loss
1, 1, 0.0000
1, 2, 0.0000
1, 3, 0.0000
1, 4, 0.0000
1, 5, 0.0000
1, 6, 0.0000
1, 7, 0.0000
1, 8, 0.0000
1, 9, 0.0005
1, 10, 0.0000
1, 11, 0.0000
1, 12, 0.0999
1, 13, 0.0044
1, 14, 0.0168
1, 15, 0.0008
1, 16, 0.0025
1, 17, 0.7807
1, 18, 0.0183
1, 19, 0.2080
1, 20, 0.4962
2, 1, 0.0467
2, 2, 0.0898
2, 3, 0.0182
2, 4, 0.0229
2, 5, 0.0818
2, 6, 0.0059
2, 7, 0.0482
2, 8, 0.0251
2, 9, 0.0182
2, 10, 0.0186
2, 11, 0.0116
2, 12, 0.0703
2, 13, 0.0130
2, 14, 0.0271
2, 15, 0.0166
2, 16, 0.0469
2, 17, 0.2343
2, 18, 0.0578
2, 19, 0.1105
2, 20, 0.0152
3, 1, 0.1032
3, 2, 0.3390
3, 3, 0.0307
3, 4, 0.2405
3, 5, 0.0327
3, 6, 0.0893
3, 7, 0.1618
3, 8, 0.7452
3, 9, 0.1186
3, 10, 0.3581
3, 11, 0.1935
3, 12, 0.0923
3, 13, 0.0979
3, 14, 0.1784
3, 15, 0.1600
3, 16, 0.1473
3, 17, 0.0891
3, 18, 0.0728
3, 19, 0.1577
3, 20, 0.3829
4, 1, 0.0641
4, 2, 0.1268
4, 3, 0.0974
4, 4, 0.1632
4, 5, 0.0943
4, 6, 0.1521
4, 7, 0.2420
4, 8, 0.1441
4, 9, 0.0449
4, 10, 0.0514
4, 11, 0.0948
4, 12, 0.2478
4, 13, 0.1619
4, 14, 0.1296
4, 15, 0.0421
4, 16, 0.2294
4, 17, 0.1900
4, 18, 0.1588
4, 19, 0.0931
4, 20, 0.4055
5, 1, 0.1081
5, 2, 0.1603
5, 3, 0.1936
5, 4, 0.2880
5, 5, 0.4159
5, 6, 0.1785
5, 7, 0.5036
5, 8, 0.3560
5, 9, 0.3213
5, 10, 0.2764
5, 11, 0.5131
5, 12, 0.4408
5, 13, 0.4371
5, 14, 0.4199
5, 15, 0.4813
5, 16, 0.3612
5, 17, 0.2748
5, 18, 0.3195
5, 19, 0.2816
5, 20, 0.3520
