Fold, Epoch, Train Loss
1, 1, 0.0000
1, 2, 0.0000
1, 3, 0.0000
1, 4, 0.0000
1, 5, 0.0000
1, 6, 0.0000
1, 7, 0.0000
1, 8, 0.0000
1, 9, 0.0000
1, 10, 0.0000
1, 11, 0.0003
1, 12, 0.0028
1, 13, 0.0003
1, 14, 0.1997
1, 15, 0.0051
1, 16, 0.0001
1, 17, 0.0139
1, 18, 0.1585
1, 19, 0.0939
1, 20, 0.4738
2, 1, 0.3473
2, 2, 0.2744
2, 3, 0.0961
2, 4, 0.3493
2, 5, 0.0654
2, 6, 0.1070
2, 7, 0.0038
2, 8, 0.3634
2, 9, 0.1874
2, 10, 0.0879
2, 11, 0.0728
2, 12, 0.0148
2, 13, 0.2530
2, 14, 0.0621
2, 15, 0.0272
2, 16, 0.0577
2, 17, 0.0867
2, 18, 0.0440
2, 19, 0.2484
2, 20, 0.0308
3, 1, 0.2813
3, 2, 0.1159
3, 3, 0.1572
3, 4, 0.0933
3, 5, 0.1060
3, 6, 0.2851
3, 7, 0.2387
3, 8, 0.1011
3, 9, 0.2716
3, 10, 0.2044
3, 11, 0.2680
3, 12, 0.2903
3, 13, 0.1732
3, 14, 0.3478
3, 15, 0.1562
3, 16, 0.1826
3, 17, 0.1455
3, 18, 0.1575
3, 19, 0.2886
3, 20, 0.1594
